"","Phylum","Class","Order","Family","Species","C.value","GS_Species","Bp"
"834","Arthropoda","Insecta","Diptera","Anthomyiidae","Delia antiqua",0.73,"Delia antiqua",713940000
"835","Arthropoda","Insecta","Diptera","Calliphoridae","Calliphora erythrocephala",0.65,"Calliphora erythrocephala",635700000
"836","Arthropoda","Insecta","Diptera","Calliphoridae","Calliphora vicina",0.76,"Calliphora vicina",743280000
"837","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya albiceps",0.72,"Chrysomya albiceps",704160000
"838","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya marginalis",0.82,"Chrysomya marginalis",801960000
"839","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya megacephala",0.67,"Chrysomya megacephala",655260000
"840","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya megacephala",0.85,"Chrysomya megacephala",831300000
"841","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya phaonis",0.99,"Chrysomya phaonis",968220000
"842","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya pinguis",1.16,"Chrysomya pinguis",1134480000
"843","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya putoria",0.91,"Chrysomya putoria",889980000
"844","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya rufifacies",0.44,"Chrysomya rufifacies",430320000
"845","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya rufifacies",0.57,"Chrysomya rufifacies",557460000
"846","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya saffranea",0.87,"Chrysomya saffranea",850860000
"847","Arthropoda","Insecta","Diptera","Calliphoridae","Chrysomya varipes",0.52,"Chrysomya varipes",508560000
"848","Arthropoda","Insecta","Diptera","Calliphoridae","Cochliomyia hominivorax",0.45,"Cochliomyia hominivorax",440100000
"849","Arthropoda","Insecta","Diptera","Calliphoridae","Cochliomyia macellaria",0.54,"Cochliomyia macellaria",528120000
